Prov,mun,stlmtsz8,stlmtsz5,H_SETTLEMENT,H_URBRURAL,E_RESPINT,F_INTPRIVACY,E1_LITERACY,gov_trst,dem_equ,dem_imp,dem_mil_reg,eth_death,eth_poldeath_sex,eth_sex_rel,Q106,Q107,Q108,Q109,Q110,Q112,Q120,Q143,Q158,Q159,Q160,Q161,Q162,Q177,Q178,Q179,Q180,Q181,Q182,Q183
608162,608061,5,3,1,1,1,2,1,-1.503568838,1.025616168,1.420211134,1.43155558,2.712165292,1.742291248,0.700099832,10,1,10,1,1,10,10,3,4,1,8,10,10,10,1,10,10,10,1,5
608162,608061,5,3,1,1,2,1,1,0.358974705,0.586313606,-0.465553104,-0.321716559,2.218389395,1.069163137,0.859232709,10,10,1,5,5,1,10,1,1,10,1,1,1,5,10,10,1,1,5,5
608162,608061,5,3,1,1,2,2,1,-1.769390969,0.658617535,1.296976735,-1.415274407,0.691494897,0.219619134,-1.941973439,1,1,9,1,1,1,1,3,1,1,1,10,10,1,1,1,2,2,1,1
608162,608061,5,3,1,1,1,1,1,1.91567123,-0.060926683,1.322484489,0.480682283,-0.976678138,1.798462817,1.083917848,7,5,6,5,6,8,7,2,5,5,5,5,4,10,10,10,1,1,10,5
608162,608061,5,3,1,1,1,2,1,2.163377989,0.319037272,-0.781783521,0.856460076,1.749076674,1.739033818,1.909885607,6,4,7,4,1,7,8,1,9,8,8,8,8,9,6,6,9,8,8,8
608162,608061,5,3,1,1,1,2,1,0.852455003,-0.834999462,-0.684498495,-0.642588591,-0.064006784,0.994413079,1.187644941,5,5,10,5,1,10,8,1,7,9,4,5,7,8,3,8,5,3,6,5
608162,608061,5,3,1,1,1,1,1,-0.866279733,-1.420662826,-0.479967875,-1.118965602,-0.182285955,-0.472933702,-0.439603296,10,5,6,5,5,8,9,1,6,6,5,6,6,4,3,3,3,3,3,3
608162,608061,5,3,1,1,1,1,1,-0.192645853,0.945134678,0.592081465,0.752921221,-0.996698805,-0.437673988,0.064121985,10,10,10,1,1,10,7,2,1,1,10,10,10,7,5,1,1,3,10,1
608162,608061,5,3,1,1,1,2,1,1.347754488,0.181836314,1.344321167,-0.154167599,0.555164761,0.755642928,1.305436755,7,5,1,1,7,10,10,1,2,8,10,3,7,3,2,5,7,8,7,5
608162,608061,5,3,1,1,1,1,1,-1.625582161,0.834608329,-0.039348173,0.629674363,1.739546045,1.065956839,1.809909449,6,8,5,5,1,10,6,1,8,8,6,8,7,8,6,7,7,7,7,8
